words,frq
pepper,31909
salt,30573
oil,29048
garlic,23614
ground,22836
fresh,22161
sauce,15987
sugar,15621
onions,15450
cheese,14638
chicken,14300
olive,13539
black,13465
water,12219
red,11525
flour,11082
butter,10804
tomatoes,10717
green,10643
powder,10302
chopped,9802
cloves,9422
juice,8970
white,8626
onion,8609
eggs,8170
rice,7661
cream,7628
cilantro,7432
milk,7353
lemon,7288
vegetable,7068
leaves,6837
large,6787
ginger,6732
corn,6672
dried,6647
lime,6199
vinegar,6185
soy,6076
all,6054
purpose,6045
cumin,5809
broth,5556
chili,5406
wine,5334
bell,5313
parsley,5172
sesame,4391
beans,4353
grated,4093
kosher,4012
carrots,4005
extra,3856
basil,3835
beef,3798
dry,3793
seeds,3748
brown,3729
paste,3700
baking,3689
unsalted,3671
parmesan,3648
chilies,3500
boneless,3452
virgin,3440
oregano,3435
shredded,3300
cinnamon,3261
fat,3251
tomato,3209
egg,3178
potatoes,3134
cooking,3087
thyme,3082
pork,3075
shrimp,2935
chile,2903
diced,2882
yellow,2863
bread,2855
low,2834
seasoning,2812
tortillas,2802
skinless,2801
sodium,2799
vanilla,2778
coconut,2767
coriander,2740
celery,2701
bay,2688
cayenne,2672
breasts,2650
minced,2637
leaf,2601
mushrooms,2599
whole,2579
crushed,2519
spray,2510
sour,2471
flakes,2421
starch,2412
paprika,2411
stock,2400
purple,2376
scallions,2372
hot,2337
cheddar,2315
fish,2311
mustard,2249
extract,2201
orange,2192
jalapeno,2188
sweet,2071
curry,2038
frozen,1991
shallots,1866
sea,1857
peppers,1844
light,1806
cooked,1761
mozzarella,1759
honey,1756
noodles,1751
heavy,1744
spinach,1719
mint,1701
olives,1700
peas,1672
sliced,1670
salsa,1663
canola,1624
avocado,1604
cabbage,1549
pasta,1530
bacon,1526
lettuce,1521
breast,1509
yogurt,1478
sausage,1446
cucumber,1429
yolks,1404
flat,1391
seed,1376
dark,1343
masala,1340
nutmeg,1340
freshly,1318
soda,1317
free,1282
fillets,1270
buttermilk,1266
halves,1239
turmeric,1218
peanut,1189
reduced,1183
garam,1181
whites,1181
granulated,1165
zucchini,1152
plum,1140
zest,1129
plain,1121
italian,1113
chocolate,1085
toasted,1075
whipping,1051
grain,1049
almonds,1047
peeled,1031
rosemary,1028
smoked,1022
crumbs,1012
peppercorns,1008
peanuts,996
sprigs,985
mayonaise,983
baby,969
tumeric,963
yeast,961
cardamom,949
roasted,913
half,909
coarse,903
ricotta,903
raisins,886
ribs,885
long,872
worcestershire,867
of,856
sticks,848
ham,842
cider,833
chinese,826
feta,825
fennel,821
steak,814
jack,814
mix,806
meat,800
clove,795
tofu,794
chiles,792
taco,785
wheat,782
sherry,780
turkey,777
medium,773
chives,770
syrup,761
warm,752
ice,748
shiitake,741
balsamic,734
lamb,724
dijon,709
root,699
lean,699
greens,687
serrano,687
less,682
chips,682
allspice,682
unsweetened,682
powdered,679
capers,676
cold,673
roast,665
slices,660
broccoli,653
condensed,651
finely,648
bean,648
eggplant,645
ketchup,643
cornmeal,630
mirin,626
and,624
cherry,624
wedges,619
in,619
greek,615
oyster,611
saffron,609
spring,606
Italian,599
sharp,592
skim,587
beansprouts,585
thai,582
boiling,579
peel,578
pecans,570
soup,568
sage,563
squash,562
leeks,561
dill,559
spaghetti,550
thighs,547
apple,541
potato,535
reggiano,535
chickpeas,527
shoulder,525
golden,519
hoisin,518
