TXKEY,Class
T10568,1
T143334,1
T143336,1
T154719,1
T18150,1
T154720,1
T74496,1
T10906,1
T120837,1
T12468,1
T141260,1
T10681,1
T154694,1
T11841,1
T12938,1
T150662,1
T141257,1
T6820,1
T10620,1
T243393,1
T9179,1
T6870,1
T88897,1
T42769,1
T42756,1
T281144,1
T223572,1
T42696,1
T123141,1
T150644,1
T43281,1
T140786,1
T150679,1
T149522,1
T279863,1
T42549,1
T12108,1
T6609,1
T147548,1
T13499,1
T150715,1
T27749,1
T150678,1
T157868,1
T6734,1
T12261,1
T262560,1
T52584,1
T13617,1
T6774,1
T79835,1
T150665,1
T226814,1
T251866,1
T12369,1
T142405,1
T243699,1
T42674,1
T150684,1
T221018,1
T261925,1
T77682,1
T43773,1
T157871,1
T61966,1
T156988,1
T208651,1
T57470,1
T212644,1
T154697,1
T83053,1
T80760,1
T125342,1
T190368,1
T30473,1
T30398,1
T149865,1
T42945,1
T30384,1
T201601,1
T69498,1
T114271,1
T52466,1
T117974,1
T75511,1
T13942,1
T150925,1
T47802,1
T27738,1
T106998,1
T247995,1
T14026,1
T63634,1
T251477,1
T149773,1
T86155,1
T192529,1
T79525,1
T268375,1
T28976,1
T151519,1
T238366,1
T235616,1
T181966,1
T149874,1
T163149,1
T70141,1
T177195,1
T64411,1
T223578,1
T190263,1
T83417,1
T59539,1
T114836,1
T163769,1
T46998,1
T44001,1
T152295,1
T10690,1
T16863,1
T167184,1
T15451,1
T234633,1
T153885,1
T45732,1
T15506,1
T52398,1
T18773,1
T95597,1
T220725,1
T6336,1
T18809,1
T6338,1
T6641,1
T277772,1
T8312,1
T153835,1
T261056,1
T191690,1
T151007,1
T203700,1
T4920,1
T8972,1
T229953,1
T61140,1
T17366,1
T10204,1
T17453,1
T17480,1
T43418,1
T151807,1
T33276,1
T189878,1
T154684,1
T10900,1
T10573,1
T85532,1
T119035,1
T50219,0
T9512,0
T24782,0
T15698,0
T15903,0
T85431,0
T18217,0
T52746,0
T34620,0
T27302,0
T47547,0
T50105,0
T124546,0
T259654,0
T9044,0
T36392,0
T60780,0
T262081,0
T94453,0
T51871,0
T96075,0
T11354,0
T57792,0
T28062,0
T13115,0
T26089,0
T153010,0
T89261,0
T103475,0
T105835,0
T96143,0
T215953,0
T68665,0
T11344,0
T44315,0
T13129,0
T136020,0
T53529,0
T43835,0
T66761,0
T32383,0
T201216,0
T37905,0
T44134,0
T89396,0
T50357,0
T269217,0
T96608,0
T84699,0
T8625,0
T107102,0
T96213,0
T96426,0
T103410,0
T128053,0
T97024,0
T45575,0
T2155,0
T64552,0
T15988,0
T71153,0
T100665,0
T2965,0
T100570,0
T32148,0
T105461,0
T13000,0
T39029,0
T50064,0
T28687,0
T61631,0
T123670,0
T51344,0
T266590,0
T19133,0
T69950,0
T29529,0
T128373,0
T185669,0
T13224,0
T233656,0
T78815,0
T144210,0
T97064,0
T159616,0
T204255,0
T93759,0
T134884,0
T83251,0
T225389,0
T45706,0
T39104,0
T143087,0
T125885,0
T47276,0
T266434,0
T100128,0
T45708,0
T229978,0
T141314,0
T142239,0
T107679,0
T169224,0
T219611,0
T115659,0
T134016,0
T118070,0
T32492,0
T264552,0
T52794,0
T2691,0
T130842,0
T136063,0
T119410,0
T171075,0
T248589,0
T104573,0
T16486,0
T46936,0
T116719,0
T68517,0
T62759,0
T101536,0
T13188,0
T84762,0
T35572,0
T124865,0
T114341,0
T27109,0
T62394,0
T129189,0
T224049,0
T127896,0
T276061,0
T180738,0
T194209,0
T12967,0
T99764,0
T65109,0
T120484,0
T17458,0
T156868,0
T45109,0
T9495,0
T93850,0
T11874,0
T137785,0
T219787,0
T9964,0
T135375,0
T216409,0
T217282,0
T11745,0
T120383,0
T189487,0
T72812,0
T149587,0
T34612,0
T62785,0
T127799,0
T206285,0
T34759,0
T85406,0
T261428,0
T77461,0
T113587,0
T124463,0
T104391,0
T43096,0
T69087,0
T9466,0
T100245,0
T159149,0
T225380,0
T60278,0
T10002,0
T192750,0
T17464,0
T268662,0
T87121,0
T47798,0
T213453,0
T220461,0
T268787,0
T219848,0
T276193,0
T11345,0
T170906,0
T43657,0
T243607,0
T12034,0
T20631,0
T159141,0
T97898,0
T275145,0
T17503,0
T45177,0
T56907,0
T276999,0
T201990,0
T99373,0
T24045,0
T4612,0
T234029,0
T261716,0
T147577,0
T94845,0
T18184,0
T260578,0
T263355,0
T123270,0
T58581,0
T103376,0
T221958,0
T115672,0
T228967,0
T96533,0
T88688,0
T167010,0
T172797,0
T239301,0
T275741,0
T169563,0
T56880,0
T283738,0
T86169,0
T95204,0
T197675,0
T13755,0
T643,0
T108521,0
T104843,0
T233331,0
T204646,0
T18941,0
T223569,0
T45246,0
T17727,0
T131135,0
T216669,0
T148998,0
T125369,0
T40085,0
T228339,0
T228338,0
T11730,0
T90948,0
T143292,0
T155183,0
T48848,0
T143409,0
T130094,0
T18863,0
T70411,0
T200366,0
T5636,0
T156867,0
T256397,0
T43579,0
T129482,0
T112008,0
T20137,0
T5197,0
T61154,0
T133968,0
T171046,0
T218322,0
T235480,0
T45319,0
T36166,0
T201894,0
T196717,0
T240974,0
T282819,0
T249183,0
T97095,0
T23815,0
T282785,0
T22315,0
T50812,0
T82803,0
T82680,0
T82565,0
T135319,0
T12988,0
T46443,0
T143191,0
T95687,0
T148934,0
T14976,0
T129695,0
T269203,0
T29582,0
T24793,0
T134336,0
T254924,0
T277970,0
T19475,0
T228971,0
T143848,0
T78759,0
T240222,0
T63616,0
T212079,0
T159166,0
T267749,0
T122341,0
T234397,0
T132185,0
T26065,0
T283073,0
T123301,0
T12402,0
T245773,0
T91757,0
T133465,0
T125201,0
T136354,0
T77080,0
T148957,0
T123355,0
T45186,0
T58138,0
T212216,0
T148834,0
T111117,0
T88781,0
T21584,0
T56733,0
T101741,0
T18480,0
T148798,0
T49775,0
T276986,0
T38195,0
T268800,0
T179939,0
T151152,0
T251326,0
T279776,0
T89440,0
T3420,0
T23659,0
T142202,0
T46415,0
T253500,0
T253274,0
T122118,0
T45731,0
T144353,0
T17878,0
T172214,0
T263162,0
T221126,0
T156705,0
T105308,0
T53325,0
T100037,0
T139438,0
T688,0
T249290,0
T45418,0
T61277,0
T19553,0
T21595,0
T19608,0
T190588,0
T19507,0
T134630,0
T131083,0
T130881,0
T117957,0
T85869,0
T103453,0
T138987,0
T75043,0
T32344,0
T24252,0
T97506,0
T184861,0
T189472,0
T153325,0
T239411,0
T270809,0
T116815,0
T71693,0
T108464,0
T135914,0
T111318,0
T47897,0
T40764,0
T131648,0
T125530,0
T49511,0
T69918,0
T116903,0
T92771,0
T168540,0
T29711,0
T38178,0
T15021,0
T220566,0
T235376,0
T277488,0
T105646,0
T170182,0
T212709,0
T142436,0
T277278,0
T177405,0
T174220,0
T7237,0
T137098,0
T159132,0
T130522,0
T95539,0
T128062,0
T68393,0
T142532,0
T134643,0
T18444,0
T86670,0
T164045,0
T27351,0
T85096,0
T157661,0
T42794,0
T276414,0
T60796,0
T2012,0
T115606,0
T186041,0
T203353,0
T275653,0
T104648,0
T220111,0
T56965,0
T22322,0
T606,0
T236243,0
T107251,0
T30309,0
T143723,0
T222867,0
T230845,0
T9327,0
T224716,0
T229401,0
T137656,0
T61402,0
T210339,0
T5481,0
T30649,0
T208320,0
T31434,0
T107644,0
T180074,0
T135395,0
T46543,0
T105116,0
T18735,0
T37671,0
T107197,0
T151606,0
T206342,0
T244613,0
T259324,0
T133251,0
T102889,0
T12721,0
T14546,0
T128529,0
T22856,0
T225792,0
T5749,0
T183468,0
T98231,0
T263051,0
T2696,0
T210116,0
T271913,0
T20999,0
T239064,0
T15876,0
T9498,0
T78113,0
T236668,0
T122066,0
T233777,0
T3817,0
T135804,0
T35210,0
T68148,0
T75549,0
T39800,0
T181393,0
T181662,0
T172996,0
T91255,0
T30106,0
T158457,0
T248353,0
T43637,0
T198019,0
T119682,0
T236649,0
T208451,0
T19651,0
T177748,0
T10250,0
T136488,0
T135542,0
T14099,0
T48878,0
T111440,0
T47062,0
T253033,0
T258431,0
T18673,0
T21712,0
T46798,0
T177124,0
T182992,0
T224571,0
T106435,0
T118427,0
T5901,0
T103024,0
T24394,0
T183664,0
T15369,0
T175560,0
T94618,0
T42530,0
T122383,0
T123483,0
T123384,0
T14977,0
T94511,0
T15491,0
T123634,0
T95265,0
T124116,0
T124189,0
T124243,0
T121618,0
T15843,0
T122304,0
T183683,0
T104912,0
T49729,0
T262672,0
T29420,0
T70972,0
T16641,0
T13322,0
T180440,0
T10760,0
T11065,0
T26350,0
T115322,0
T136497,0
T12763,0
T20829,0
T135394,0
T194555,0
T98163,0
T105686,0
T36699,0
T216541,0
T184777,0
T105946,0
T140982,0
T132011,0
T224618,0
T251881,0
T56565,0
T59991,0
T268170,0
T538,0
T152973,0
T265134,0
T93164,0
T201470,0
T194173,0
T197614,0
T281755,0
T272636,0
T240535,0
T42582,0
T121820,0
T117871,0
T176555,0
T229733,0
T160813,0
T234551,0
T196085,0
T196086,0
T262532,0
T179155,0
T66322,0
T190116,0
T74548,0
T157079,0
T143063,0
T13111,0
T86149,0
T20134,0
T144660,0
T284286,0
T211075,0
T210807,0
T190656,0
T275286,0
T90823,0
T112898,0
T264602,0
T205588,0
T12976,0
T192459,0
T19630,0
T136422,0
T167569,0
T258843,0
T254601,0
T225664,0
T17401,0
T153260,0
T258121,0
T142814,0
T418,0
T199711,0
T221959,0
T218549,0
T149446,0
T78505,0
T206197,0
T268923,0
T153844,0
T60161,0
T233347,0
T281174,0
T33434,0
T186020,0
T66832,0
T198164,0
T27077,0
T284633,0
T205732,0
T17022,0
T5605,0
T14104,0
T135552,0
T186528,0
T262971,0
T151196,0
T93532,0
T93159,0
T280784,0
T272436,0
T169148,0
T217712,0
T54373,0
T234276,0
T25979,0
T16675,0
T242788,0
T283715,0
T170696,0
T158090,0
T9167,0
T232191,0
T210677,0
T88376,0
T3079,0
T93919,0
T73582,0
T135941,0
T87533,0
T133039,0
T129717,0
T61212,0
T77665,0
T132734,0
T158747,0
T54169,0
T278156,0
T193277,0
T245091,0
T166913,0
T201295,0
T198096,0
T225085,0
T220683,0
T284152,0
T189449,0
T256315,0
T241876,0
T231250,0
T234729,0
T48866,0
T145148,0
T13007,0
T13528,0
T275073,0
T264085,0
T200952,0
T273725,0
T218075,0
T230729,0
T145378,0
T13802,0
T118887,0
T172527,0
T265880,0
T221840,0
T281564,0
T184324,0
T2961,0
T110621,0
T149737,0
T194697,0
T212283,0
T248451,0
T253509,0
T219478,0
T3849,0
T275445,0
T256086,0
T22466,0
T128714,0
T187018,0
T127277,0
T166405,0
T211717,0
T254870,0
T218811,0
T148547,0
T260706,0
T116539,0
T49160,0
T13024,0
T283449,0
T195383,0
