y,udnew,OI,net,opmcl,short
1 ,,54303.00 ,2735.00 ,,
1 ,27.00 ,56979.00 ,-1121.00 ,38.00 ,33765.00 
0 ,-81.00 ,57267.00 ,-1545.00 ,-24.00 ,32775.00 
0 ,-43.00 ,57605.00 ,-3215.00 ,-32.00 ,33413.00 
0 ,-55.00 ,57930.00 ,-5085.00 ,-9.00 ,36407.00 
1 ,53.00 ,58371.00 ,1160.00 ,-23.00 ,34722.00 
1 ,125.00 ,56330.00 ,2262.00 ,24.00 ,33838.00 
0 ,-103.00 ,50628.00 ,-4156.00 ,30.00 ,39365.00 
1 ,-2.00 ,41952.00 ,-3760.00 ,-72.00 ,34635.00 
0 ,-73.00 ,30347.00 ,-5635.00 ,-23.00 ,37404.00 
0 ,-41.00 ,19771.00 ,-204.00 ,7.00 ,30604.00 
0 ,-25.00 ,55365.00 ,2582.00 ,-15.00 ,29467.00 
1 ,69.00 ,53906.00 ,1381.00 ,78.00 ,27678.00 
1 ,10.00 ,53161.00 ,1165.00 ,-29.00 ,29817.00 
0 ,73.00 ,53207.00 ,4337.00 ,18.00 ,28423.00 
0 ,-60.00 ,54124.00 ,130.00 ,29.00 ,29597.00 
0 ,-60.00 ,52878.00 ,-567.00 ,-34.00 ,25332.00 
0 ,-63.00 ,52971.00 ,-4252.00 ,-21.00 ,31142.00 
1 ,109.00 ,52711.00 ,1400.00 ,-30.00 ,28981.00 
1 ,119.00 ,58955.00 ,6555.00 ,32.00 ,24865.00 
0 ,3.00 ,57234.00 ,4482.00 ,34.00 ,21715.00 
0 ,63.00 ,58922.00 ,7091.00 ,19.00 ,22330.00 
1 ,32.00 ,57372.00 ,5044.00 ,13.00 ,23288.00 
1 ,26.00 ,59383.00 ,2617.00 ,19.00 ,26574.00 
1 ,-23.00 ,57811.00 ,-1434.00 ,-54.00 ,30312.00 
1 ,66.00 ,55226.00 ,-1203.00 ,15.00 ,32963.00 
0 ,49.00 ,48668.00 ,1895.00 ,66.00 ,32657.00 
1 ,72.00 ,34498.00 ,4065.00 ,14.00 ,31879.00 
0 ,29.00 ,17371.00 ,7675.00 ,50.00 ,34172.00 
0 ,-84.00 ,51687.00 ,6780.00 ,-36.00 ,26592.00 
1 ,25.00 ,53228.00 ,5946.00 ,-10.00 ,26948.00 
1 ,34.00 ,52802.00 ,5675.00 ,23.00 ,28870.00 
0 ,-99.00 ,53349.00 ,4254.00 ,-7.00 ,29267.00 
0 ,-34.00 ,52770.00 ,6487.00 ,-48.00 ,31389.00 
0 ,62.00 ,53282.00 ,5984.00 ,24.00 ,36478.00 
0 ,56.00 ,53687.00 ,4919.00 ,66.00 ,37739.00 
0 ,-69.00 ,57501.00 ,-677.00 ,-1.00 ,34464.00 
1 ,136.00 ,55822.00 ,5416.00 ,23.00 ,31368.00 
0 ,22.00 ,54147.00 ,3835.00 ,69.00 ,32180.00 
1 ,23.00 ,54014.00 ,6324.00 ,-12.00 ,36829.00 
1 ,71.00 ,57483.00 ,10470.00 ,29.00 ,39377.00 
1 ,32.00 ,56515.00 ,8080.00 ,2.00 ,37499.00 
0 ,-42.00 ,55518.00 ,7633.00 ,-2.00 ,37291.00 
0 ,-1.00 ,53439.00 ,6176.00 ,2.00 ,34549.00 
0 ,-20.00 ,53628.00 ,2420.00 ,8.00 ,38479.00 
0 ,-93.00 ,50810.00 ,-367.00 ,19.00 ,37845.00 
0 ,-71.00 ,43007.00 ,-993.00 ,-52.00 ,34819.00 
0 ,-12.00 ,28651.00 ,-590.00 ,46.00 ,37702.00 
1 ,-28.00 ,15008.00 ,1923.00 ,-51.00 ,28720.00 
0 ,-16.00 ,47207.00 ,2112.00 ,7.00 ,23350.00 
1 ,46.00 ,48679.00 ,4025.00 ,-16.00 ,23994.00 
1 ,71.00 ,47238.00 ,5119.00 ,68.00 ,25555.00 
0 ,-9.00 ,47439.00 ,3459.00 ,-5.00 ,27898.00 
1 ,24.00 ,48107.00 ,5952.00 ,6.00 ,29659.00 
0 ,22.00 ,48316.00 ,5823.00 ,-3.00 ,34036.00 
1 ,95.00 ,49739.00 ,10147.00 ,41.00 ,33054.00 
0 ,-16.00 ,51497.00 ,9015.00 ,15.00 ,31376.00 
0 ,26.00 ,52300.00 ,9479.00 ,-11.00 ,34468.00 
0 ,-44.00 ,51567.00 ,8301.00 ,41.00 ,31887.00 
0 ,-219.00 ,51406.00 ,-9150.00 ,-77.00 ,34151.00 
1 ,0.00 ,51741.00 ,-8854.00 ,-20.00 ,37702.00 
0 ,68.00 ,52252.00 ,-7983.00 ,29.00 ,36069.00 
1 ,96.00 ,52576.00 ,132.00 ,50.00 ,36735.00 
0 ,-53.00 ,49788.00 ,336.00 ,6.00 ,36420.00 
1 ,-74.00 ,40350.00 ,3773.00 ,-21.00 ,40143.00 
1 ,22.00 ,24079.00 ,1402.00 ,-51.00 ,46275.00 
1 ,-60.00 ,14675.00 ,2820.00 ,8.00 ,51107.00 
1 ,-25.00 ,48117.00 ,7566.00 ,-94.00 ,34469.00 
1 ,202.00 ,61570.00 ,17959.00 ,34.00 ,34574.00 
1 ,0.00 ,60182.00 ,15559.00 ,10.00 ,33545.00 
0 ,12.00 ,58835.00 ,14054.00 ,-13.00 ,34219.00 
1 ,50.00 ,58446.00 ,12051.00 ,41.00 ,36896.00 
1 ,18.00 ,59145.00 ,14419.00 ,-16.00 ,35909.00 
1 ,5.00 ,59458.00 ,16643.00 ,5.00 ,37837.00 
1 ,70.00 ,63048.00 ,21402.00 ,13.00 ,32938.00 
