id,cuisine
35203,irish
17600,southern_us
35200,italian
17602,cajun_creole
17605,italian
17604,southern_us
5,chinese
7,chinese
35209,mexican
11,british
12,italian
35214,greek
13,indian
17614,italian
17,italian
17617,french
18,french
17620,southern_us
35223,mexican
23,southern_us
35221,japanese
35224,indian
35225,french
17627,cajun_creole
26,italian
28,southern_us
35229,thai
17635,korean
35,italian
36,southern_us
35238,mexican
42,thai
35240,russian
17640,japanese
17647,chinese
47,mexican
17646,russian
17645,indian
35246,indian
51,cajun_creole
17650,cajun_creole
35249,chinese
17651,french
17648,mexican
17649,italian
35252,italian
52,spanish
35257,indian
17656,vietnamese
57,chinese
35258,italian
17663,thai
35262,indian
17542,italian
71,italian
17539,chinese
66,italian
17544,japanese
17547,chinese
85,cajun_creole
17557,french
35283,mexican
35281,filipino
17565,korean
35292,mexican
17560,greek
17562,filipino
17569,thai
17581,italian
17579,italian
35307,italian
17576,indian
35306,thai
117,filipino
17587,indian
35313,japanese
17584,indian
17585,mexican
35326,southern_us
17596,greek
17597,chinese
123,spanish
35320,italian
122,korean
35321,french
17484,southern_us
17485,greek
142,italian
17487,cajun_creole
35074,chinese
17474,indian
131,italian
130,mexican
17475,chinese
133,moroccan
35099,southern_us
17496,french
17499,greek
17498,italian
35100,indian
17502,greek
144,southern_us
17489,italian
17492,thai
35092,japanese
17515,thai
169,italian
17519,italian
17516,korean
173,filipino
172,mexican
17506,italian
35105,southern_us
160,french
35109,italian
17511,mexican
166,japanese
35110,thai
164,indian
35128,italian
17530,korean
191,mexican
17534,french
188,filipino
182,southern_us
17526,vietnamese
183,italian
17525,italian
35126,vietnamese
17416,irish
35146,russian
35145,mexican
17413,italian
35141,mexican
17408,spanish
192,mexican
17410,italian
35164,mexican
17435,irish
35160,chinese
219,thai
17429,southern_us
17428,italian
35156,british
35155,southern_us
17424,cajun_creole
210,cajun_creole
35181,spanish
236,italian
235,southern_us
35173,chinese
229,french
35168,italian
17442,chinese
227,mexican
17443,french
