TXKEY,Amount,Class,Time
T541,0,1,406
T6108,59,1,6986
T6329,1,1,7519
T6331,1,1,7526
T6334,1,1,7535
T6427,1,1,7610
T6446,1,1,7672
T6472,1,1,7740
T6529,1,1,7891
T6717,1,1,8408
T6719,1,1,8415
T6882,1.1,1,8808
T6899,1,1,8878
T6903,1,1,8886
T6971,1809.68,1,9064
T8296,1,1,11080
T8335,1,1,11131
T8615,1,1,11629
T8617,1,1,11635
T8842,0,1,12093
T8845,30.39,1,12095
T9035,1,1,12597
T9252,1,1,13323
T9487,1,1,14073
T9509,1,1,14152
T10484,3.79,1,17187
T10498,3.93,1,17230
T10630,766.36,1,17838
T10801,1,1,18399
T10891,188.78,1,18675
T10897,1,1,18690
T11343,1,1,19762
T11710,1,1,20011
T11880,1,1,20451
T12070,1,1,20931
T14170,99.99,1,25198
T14197,99.99,1,25231
T14211,99.99,1,25254
T14338,3.76,1,25426
T15166,99.99,1,26523
T15204,99.99,1,26556
T15225,99.99,1,26585
T15476,99.99,1,26863
T15539,99.99,1,26931
T15566,99.99,1,26961
T15736,99.99,1,27163
T15751,99.99,1,27187
T15781,99.99,1,27219
T15810,99.99,1,27252
T16415,23.36,1,27784
T16780,99.99,1,28143
T17317,99.99,1,28625
T17407,99.99,1,28692
T18466,0.68,1,29526
T18472,0.68,1,29531
T20198,104.81,1,30852
T23308,0,1,32686
T23422,717.15,1,32745
T26802,19.02,1,34256
T27362,1.52,1,34521
T27627,18.96,1,34634
T29687,0.76,1,35585
T30100,60.6,1,35771
T30314,7.61,1,35866
T30442,4.56,1,35926
T30496,111.7,1,35953
T31002,111.7,1,36170
T39183,776.83,1,39729
T40525,1,1,40276
T41395,1,1,40662
T41569,1,1,40742
T41943,0.76,1,40892
T42007,0.76,1,40918
T42009,112.33,1,40919
T42473,3.79,1,41116
T42528,340.11,1,41138
T42590,5.3,1,41164
T42609,83.38,1,41170
T42635,11.38,1,41181
T42700,30.26,1,41204
T42741,459.07,1,41227
T42784,45.49,1,41243
T42856,173.07,1,41273
T42887,37.32,1,41285
T42936,59.68,1,41305
T42958,9.99,1,41313
T43061,34.12,1,41353
T43160,273.01,1,41397
T43204,106.55,1,41413
T43428,364.19,1,41505
T43624,39.45,1,41582
T43681,53.95,1,41607
T44091,99.99,1,41791
T44223,139.9,1,41851
T44270,1,1,41870
T44556,1,1,41991
T45203,1,1,42247
T46909,1,1,42985
T46918,648,1,42988
T48094,24.9,1,43494
T50211,1,1,44393
T50537,1,1,44532
T52521,105.99,1,45501
T53591,1,1,46057
T53794,1,1,46149
T55401,1,1,46925
T56703,0.76,1,47545
T57248,7.58,1,47826
T57615,0.76,1,47982
T58422,208.58,1,48380
T58761,1,1,48533
T61787,360,1,49985
T63421,99.99,1,50706
T64329,99.99,1,51112
T64460,99.99,1,51155
T68067,519.9,1,52814
T68522,0.76,1,53031
T69980,0,1,53658
T70589,261.87,1,53937
T72757,1.79,1,54846
T73784,1,1,55279
T73857,0.83,1,55311
T74507,130.44,1,55618
T74794,311.91,1,55760
T76555,153.46,1,56624
T76609,7.52,1,56650
T76929,1,1,56806
T77099,5,1,56887
T77348,0.01,1,57007
T77387,444.17,1,57027
T79536,1,1,58067
